0,818
1,92
2,226
3,485
4,359
5,557
6,424
7,681
8,99
9,18
10,377
11,78
12,886
13,938
14,206
15,787
16,849
17,987
18,836
19,610
20,198
21,116
22,302
23,804
24,832
25,449
26,351
27,107
28,852
29,220
30,633
31,620
32,146
33,358
34,72
35,462
36,558
37,265
38,262
39,4
40,67
41,244
42,879
43,541
44,920
45,575
46,377
47,872
48,930
49,403
50,875
51,540
52,902
53,4
54,362
55,217
56,22
57,301
58,44
59,542
60,644
61,665
62,40
63,64
64,894
65,250
66,424
67,92
68,525
69,316
70,549
71,1000
72,241
73,752
74,352
75,55
76,353
77,930
78,223
79,159
80,959
81,217
82,577
83,251
84,461
85,156
86,120
87,503
88,403
89,379
90,886
91,542
92,653
93,107
94,824
95,35
96,888
97,452
98,786
99,541
100,177
101,216
102,787
103,108
104,936
105,880
106,527
107,869
108,359
109,670
110,388
111,468
112,363
113,780
114,449
115,375
116,186
117,308
118,882
119,982
120,602
121,228
122,496
123,519
124,746
125,723
126,105
127,907
128,881
129,187
130,713
131,893
132,762
133,201
134,842
135,78
136,4
137,594
138,958
139,396
140,207
141,711
142,566
143,161
144,924
145,347
146,917
147,135
148,16
149,356
150,682
151,525
152,154
153,417
154,526
155,205
156,526
157,161
158,477
159,337
160,55
161,547
162,139
163,263
164,961
165,295
166,972
167,806
168,459
169,398
170,23
171,195
172,834
173,751
174,560
175,894
176,681
177,153
178,273
179,196
180,282
181,930
182,736
183,620
184,773
185,300
186,738
187,536
188,315
189,186
190,650
191,509
192,706
193,522
194,771
195,845
196,288
197,443
198,415
199,251
200,74
201,226
202,336
203,308
204,942
205,369
206,881
207,508
208,129
209,311
210,580
211,211
212,21
213,320
214,150
215,451
216,117
217,810
218,635
219,811
220,901
221,120
222,904
223,351
224,215
225,937
226,276
227,667
228,712
229,198
230,961
231,452
232,972
233,690
234,907
235,636
236,470
237,315
238,16
239,905
240,345
241,985
242,440
243,125
244,142
245,745
246,72
247,362
248,328
249,961
250,890
251,275
252,670
253,771
254,170
255,711
256,661
257,207
258,686
259,877
260,513
261,139
262,612
263,103
264,82
265,188
266,851
267,52
268,542
269,400
270,554
271,92
272,183
273,427
274,913
275,654
276,327
277,732
278,861
279,775
280,51
281,769
282,315
283,291
284,558
285,938
286,322
287,306
288,598
289,926
290,585
291,455
292,418
293,179
294,41
295,671
296,962
297,8
298,408
299,936
300,485
301,52
302,132
303,693
304,931
305,447
306,987
307,416
308,42
309,849
310,225
311,932
312,194
313,319
314,268
315,871
316,949
317,148
318,519
319,204
320,974
321,904
322,185
323,442
324,320
325,810
326,26
327,624
328,224
329,249
330,95
331,591
332,413
333,83
334,137
335,300
336,8
337,376
338,220
339,324
340,285
341,354
342,436
343,384
344,692
345,955
346,455
347,856
348,467
349,713
350,255
351,776
352,168
353,469
354,410
355,777
356,811
357,612
358,376
359,501
360,326
361,173
362,108
363,905
364,240
365,238
366,686
367,359
368,554
369,309
370,63
371,436
372,467
373,783
374,687
375,735
376,609
377,182
378,471
379,678
380,524
381,965
382,501
383,692
384,789
385,871
386,375
387,722
388,764
389,838
390,99
391,365
392,519
393,892
394,116
395,430
396,878
397,27
398,237
399,918
400,829
401,924
402,948
403,353
404,76
405,807
406,255
407,207
408,783
409,708
410,478
411,289
412,212
413,565
414,783
415,926
416,983
417,121
418,180
419,788
420,808
421,960
422,397
423,473
424,810
425,231
426,590
427,927
428,900
429,473
430,980
431,605
432,24
433,697
434,131
435,449
436,988
437,517
438,160
439,468
440,938
441,519
442,151
443,235
444,607
445,911
446,676
447,918
448,401
449,635
450,153
451,683
452,833
453,744
454,832
455,653
456,410
457,605
458,401
459,685
460,205
461,974
462,177
463,947
464,298
465,912
466,956
467,334
468,929
469,935
470,754
471,844
472,959
473,977
474,906
475,29
476,352
477,708
478,299
479,403
480,3
481,257
482,515
483,667
484,840
485,362
486,337
487,364
488,346
489,283
490,954
